Image ID;QS_Safer;Error_QS_Safer;QS_Unique;Error_QS_Unique;QS_Upperclass;Error_QS_Upperclass;Lat;Lon;City;Heading;Pitch;File_Location
1867;4.312082268;0.528428508;3.388842403;0.23113857;4.307235987;0.472742552;48.271;14.309;Linz;NULL;NULL;/images/id_1867_400_300.jpg
4447;7.424496687;0.508995083;8.577249824;0.683005634;6.497493064;0.609596597;42.3809;-71.0665;Boston;340;8;/images/id_4447_400_300.jpg
4026;4.960523139;0.578983477;3.792243226;0.796483091;5.437212415;0.606079317;40.8259;-73.9249;New York City;7;5;/images/id_4026_400_300.jpg
4027;6.941864154;0.407259971;6.660700207;0.738466024;5.872326982;0.609209025;40.7875;-73.9528;New York City;335;10;/images/id_4027_400_300.jpg
4024;6.359093833;0.575125698;6.288705566;0.704695209;6.474078702;0.596199764;40.7728;-73.9584;New York City;356;12;/images/id_4024_400_300.jpg
4025;4.850321013;0.539607614;4.672684039;0.863408898;5.082750171;0.62551334;40.6887;-73.8402;New York City;7;8;/images/id_4025_400_300.jpg
4022;6.700024852;0.612472507;4.588443063;0.817332962;5.229410937;0.593083401;40.7743;-73.9096;New York City;19;5;/images/id_4022_400_300.jpg
4023;5.635431641;0.550703178;5.666041635;0.726694766;5.798332795;0.707291449;40.82;-73.817;New York City;33;4;/images/id_4023_400_300.jpg
4020;6.817278516;0.600106914;5.547535793;0.773982133;6.27224403;0.593658294;40.7571;-73.962;New York City;325;5;/images/id_4020_400_300.jpg
4021;4.989425959;0.54667322;3.910374883;0.6734403;4.420943536;0.550487847;40.6075;-73.9923;New York City;332;6;/images/id_4021_400_300.jpg
4028;1.57188879;0.577468362;1.321962061;0.704919207;0.274322695;0.643921691;40.6754;-74.0143;New York City;336;0;/images/id_4028_400_300.jpg
4029;4.09803327;0.614271261;2.687793696;0.746815786;3.302262662;0.539122491;40.7724;-73.8999;New York City;20;4;/images/id_4029_400_300.jpg
2058;3.771553822;0.403635258;4.073103305;0.530868983;3.923761041;0.47524807;48.31833;14.28917;Linz;NULL;NULL;/images/id_2058_400_300.jpg
344;3.822954994;0.455291062;4.215733515;0.832737659;5.487684899;0.486496429;40.6776;-74.0099;New York City;253;4;/images/id_344_400_300.jpg
345;3.967996302;0.35311858;3.835386679;0.547845728;4.348234416;0.558666429;40.6571;-73.9075;New York City;154;6;/images/id_345_400_300.jpg
346;3.840327996;0.458920243;5.673383792;0.671064346;4.064222458;0.561871747;40.6685;-73.8829;New York City;197;1;/images/id_346_400_300.jpg
347;4.213690779;0.51423966;3.56756617;0.366290261;4.056425354;0.50149911;40.6675;-73.8452;New York City;13;-1;/images/id_347_400_300.jpg
340;3.648602719;0.574079665;3.980788278;0.517483893;3.337202117;0.393586733;40.68;-73.9587;New York City;241;7;/images/id_340_400_300.jpg
341;5.244131523;0.497485967;4.078694041;0.628159067;5.070315614;0.631277341;40.5978;-73.9994;New York City;170;6;/images/id_341_400_300.jpg
3999;7.484739086;0.521361374;8.127458632;0.846168703;7.652484392;0.492405079;40.6859;-73.9864;New York City;328;7;/images/id_3999_400_300.jpg
343;4.699349985;0.534762719;4.249157476;0.594080684;5.299924478;0.533373202;40.6539;-73.9326;New York City;209;5;/images/id_343_400_300.jpg
3997;4.771605792;0.496043177;4.448167973;0.609518774;4.038003488;0.489460446;40.6154;-73.9994;New York City;349;3;/images/id_3997_400_300.jpg
3996;2.791109115;0.436442362;2.957787831;0.648791958;1.362283628;0.456489204;40.6235;-73.9379;New York City;290;6;/images/id_3996_400_300.jpg
3995;3.7290245;0.569828614;3.101134882;0.819533253;2.456278233;0.524766401;40.7646;-73.9954;New York City;322;6;/images/id_3995_400_300.jpg
3994;4.623958201;0.480335269;3.747925299;0.773372696;4.163836725;0.603407698;40.6482;-73.9607;New York City;21;8;/images/id_3994_400_300.jpg
348;4.462357866;0.497595186;4.3668054;0.7141053;3.458224015;0.513966532;40.8234;-73.9264;New York City;200;6;/images/id_348_400_300.jpg
3992;4.506129563;0.515263964;4.8652323;0.817521033;5.299334317;0.628800624;40.6067;-73.9824;New York City;9;6;/images/id_3992_400_300.jpg
3991;5.084615392;0.546478098;2.418693546;0.670878045;5.117030366;0.697095271;40.7282;-73.8446;New York City;4;2;/images/id_3991_400_300.jpg
3990;5.709201707;0.532354795;5.121905248;0.698086091;4.733417778;0.674845458;40.7414;-73.9172;New York City;351;5;/images/id_3990_400_300.jpg
4686;1.611152462;0.479413825;2.180100699;0.643354232;0.095065032;0.65165544;42.3948;-71.0536;Boston;28;-1;/images/id_4686_400_300.jpg
4844;6.56215976;0.556785357;4.94622296;0.768923862;5.319227549;0.567416628;42.2901;-71.0552;Boston;24;8;/images/id_4844_400_300.jpg
4687;5.245488518;0.519001792;5.017614237;0.742196533;4.21016668;0.600265786;42.4016;-71.1328;Boston;254;3;/images/id_4687_400_300.jpg
966;4.972037751;0.444181796;4.239586776;0.663704062;3.5241505;0.467598346;42.3762;-71.1036;Boston;189;4;/images/id_966_400_300.jpg
967;5.612390291;0.369099623;4.858836662;0.724995368;6.426709036;0.436808647;42.3844;-71.1242;Boston;208;13;/images/id_967_400_300.jpg
